order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds
2031782,10,Chongqing,73,108.71571,30.90228,50,14,10-22 10:26:00,10-22 10:26:00,108.71826,30.95587,10-22 17:04:00,10-22 17:04:00,108.66361,30.96702,1022
4285071,10,Chongqing,3605,108.71639,30.90269,50,14,09-07 10:13:00,09-07 10:13:00,108.71791,30.95635,09-09 15:44:00,09-09 15:44:00,108.71644,30.90266,907
4056800,10,Chongqing,3605,108.71645,30.90259,50,14,06-26 09:49:00,06-26 09:49:00,108.71798,30.95635,06-27 16:03:00,06-27 16:03:00,108.71647,30.90251,626
3589481,10,Chongqing,3605,108.7165,30.90347,50,14,09-11 11:01:00,09-11 11:01:00,108.71823,30.95596,09-13 17:14:00,09-13 17:14:00,108.7165,30.90341,911
2752329,10,Chongqing,3605,108.71608,30.90409,50,14,10-01 09:52:00,10-01 09:52:00,108.7182,30.95598,10-01 18:30:00,10-01 18:30:00,108.71413,30.90397,1001
659996,10,Chongqing,3605,108.71644,30.9047,50,14,08-08 19:01:00,08-08 19:01:00,108.71796,30.9563,08-11 10:50:00,08-11 10:50:00,108.71632,30.90479,808
4481765,10,Chongqing,3605,108.71605,30.9041,50,14,09-30 10:00:00,09-30 10:00:00,108.71824,30.95583,09-30 16:38:00,09-30 16:38:00,108.71429,30.90416,930
2365752,10,Chongqing,3605,108.71633,30.90266,50,14,09-30 10:00:00,09-30 10:00:00,108.71826,30.95585,09-30 18:38:00,09-30 18:38:00,108.71425,30.90416,930
20671,10,Chongqing,3605,108.71643,30.90253,50,14,05-20 10:06:00,05-20 10:06:00,108.71795,30.95621,05-21 15:30:00,05-21 15:30:00,108.71643,30.9025,520
965648,10,Chongqing,3605,108.71554,30.90256,50,14,08-10 10:52:00,08-10 10:52:00,108.71797,30.9563,08-12 15:50:00,08-12 15:50:00,108.71542,30.90243,810
4486215,10,Chongqing,3605,108.71543,30.9039,50,14,10-17 09:39:00,10-17 09:39:00,108.71816,30.95588,10-19 16:58:00,10-19 16:58:00,108.71545,30.90394,1017
1984854,10,Chongqing,3605,108.71631,30.90296,50,14,10-03 10:05:00,10-03 10:05:00,108.71825,30.95582,10-03 18:06:00,10-03 18:06:00,108.71422,30.90408,1003
2334342,10,Chongqing,3605,108.71604,30.90409,50,14,10-05 10:21:00,10-05 10:21:00,108.71821,30.95593,10-07 15:18:00,10-07 15:18:00,108.71422,30.90403,1005
2395322,10,Chongqing,3605,108.71598,30.90405,50,14,05-13 09:22:00,05-13 09:22:00,108.72268,30.95712,05-15 09:11:00,05-15 09:11:00,108.71604,30.90393,513
629776,10,Chongqing,3605,108.71649,30.90336,50,14,07-26 10:21:00,07-26 10:21:00,108.71793,30.95622,07-27 16:35:00,07-27 16:35:00,108.71654,30.90349,726
397825,10,Chongqing,3605,108.71581,30.90413,50,14,07-07 09:53:00,07-07 09:53:00,108.71791,30.9563,07-09 16:26:00,07-09 16:26:00,108.71593,30.90406,707
2742862,10,Chongqing,3605,108.71548,30.90314,50,14,10-16 10:02:00,10-16 10:02:00,108.71814,30.95584,10-18 15:26:00,10-18 15:26:00,108.71554,30.90322,1016
1952141,10,Chongqing,1326,108.79847,31.21657,67,14,05-08 09:11:00,05-08 09:11:00,108.72256,30.95727,05-10 16:10:00,05-10 16:10:00,108.7225,30.95731,508
3667238,10,Chongqing,1326,109.06912,31.12534,126,14,05-05 09:03:00,05-05 09:03:00,108.72266,30.9572,05-06 14:28:00,05-06 14:28:00,108.72246,30.9573,505
1734009,10,Chongqing,1326,109.01224,31.12924,126,14,06-27 08:42:00,06-27 08:42:00,108.71805,30.95639,06-29 16:22:00,06-29 16:22:00,108.72254,30.95712,627
3098203,10,Chongqing,1635,108.71797,30.94364,296,14,07-10 08:33:00,07-10 08:33:00,108.71801,30.95637,07-10 13:24:00,07-10 13:24:00,108.71809,30.9426,710
356619,10,Chongqing,1635,108.71979,30.9413,296,14,09-09 09:04:00,09-09 09:04:00,108.71803,30.95629,09-09 10:49:00,09-09 10:49:00,108.7197,30.94235,909
1484207,10,Chongqing,1635,108.72106,30.94164,296,14,10-19 08:29:00,10-19 08:29:00,108.7182,30.95598,10-19 10:11:00,10-19 10:11:00,108.72307,30.94201,1019
2628104,10,Chongqing,1635,108.71779,30.94341,296,14,10-28 10:08:00,10-28 10:08:00,108.71829,30.95598,10-28 16:36:00,10-28 16:36:00,108.71806,30.9426,1028
3602373,10,Chongqing,1635,108.71776,30.94351,296,14,10-04 08:51:00,10-04 08:51:00,108.71817,30.95594,10-04 13:45:00,10-04 13:45:00,108.71792,30.94255,1004
4241487,10,Chongqing,1635,108.72049,30.94159,296,14,09-12 08:50:00,09-12 08:50:00,108.71823,30.95595,09-12 10:36:00,09-12 10:36:00,108.72138,30.94177,912
15020,10,Chongqing,1635,108.72059,30.94154,296,14,10-28 10:05:00,10-28 10:05:00,108.71827,30.95581,10-28 11:58:00,10-28 11:58:00,108.72128,30.9417,1028
3619671,10,Chongqing,1635,108.7177,30.94341,296,14,10-14 08:47:00,10-14 08:47:00,108.71821,30.95582,10-14 13:33:00,10-14 13:33:00,108.71796,30.94267,1014
2800580,10,Chongqing,1635,108.71699,30.94418,296,14,09-13 08:33:00,09-13 08:33:00,108.71819,30.95595,09-13 13:49:00,09-13 13:49:00,108.71798,30.94236,913
4480417,10,Chongqing,1635,108.71725,30.94339,296,14,06-08 09:17:00,06-08 09:17:00,108.71796,30.95622,06-08 15:17:00,06-08 15:17:00,108.71783,30.94258,608
1778761,10,Chongqing,1635,108.71684,30.94365,296,14,05-29 09:33:00,05-29 09:33:00,108.71806,30.95627,05-29 15:09:00,05-29 15:09:00,108.71726,30.94652,529
