BALANCE,PURCHASES,ONE-OFF_PURCHASES,INST_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,PAYMENTS,PRC_FULL_PAYMENT
40.900749,95.4,0,95.4,0,0,2,201.802084,0
3202.467416,0,0,0,6442.945483,4,0,4103.032597,0.222222
2495.148862,773.17,773.17,0,0,0,12,622.066742,0
1666.670542,1499,1499,0,205.788017,1,1,0,0
817.714335,16,16,0,0,0,1,678.334763,0
1809.828751,1333.28,0,1333.28,0,0,8,1400.05777,0
627.260806,7091.01,6402.63,688.38,0,0,64,6354.314328,1
1823.652743,436.2,0,436.2,0,0,12,679.065082,0
1014.926473,861.49,661.49,200,0,0,5,688.278568,0
152.225975,1281.6,1281.6,0,0,0,3,1164.770591,0
1293.124939,920.12,0,920.12,0,0,12,1083.301007,0
630.794744,1492.18,1492.18,0,0,0,6,705.618627,0
1516.92862,3217.99,2500.23,717.76,0,0,26,608.263689,0.25
921.693369,2137.93,419.96,1717.97,0,0,26,1655.891435,0.083333
2772.772734,0,0,0,346.81139,1,0,805.647974,0
6886.213231,1611.7,0,1611.7,2301.491267,4,11,1993.439277,0
2072.074354,0,0,0,2784.274703,3,0,391.974562,0
41.089489,519,0,519,0,0,8,254.590662,0.25
1989.072228,504.35,166,338.35,0,0,9,1720.837373,0
3577.970933,398.64,0,398.64,0,0,12,1053.980464,0
2016.684686,176.68,0,176.68,0,0,8,223.0686,0
6369.531318,6359.95,5910.04,449.91,229.028245,6,92,2077.959051,0
132.34224,815.9,0,815.9,0,0,17,2359.629958,0
3800.151377,4248.35,3454.56,793.79,7974.415626,13,13,9479.043842,0
5368.571219,0,0,0,798.949863,4,0,1422.726707,0
169.781679,399.6,0,399.6,0,0,12,215.306142,0
1615.96724,102,102,0,244.840485,5,2,890.178845,0
125.694817,233.28,0,233.28,0,0,12,207.773715,0
7152.864372,387.05,204.55,182.5,2236.145259,16,8,1601.448347,0
22.06349,100,0,100,0,0,5,160.767773,0
12136.21996,3038.01,1013.2,2024.81,3183.583301,10,64,4230.323491,0
1162.273324,1347.71,400,947.71,175.815755,2,45,645.998299,0
6732.823064,324.95,324.95,0,1189.533753,3,3,1720.118876,0
125.660453,636.79,636.79,0,0,0,11,423.449696,0.3
3517.101616,547.28,0,547.28,0,0,14,8735.607835,0
1656.350781,0,0,0,99.264367,1,0,351.500199,0
7427.076941,0,0,0,8873.375046,11,0,1636.361601,0
4047.480828,2380.55,1642.17,738.38,1697.660901,7,41,1617.894416,0
6269.418144,204,204,0,2925.699862,12,2,1237.111661,0
1411.60223,963.24,963.24,0,6173.682877,6,6,20071.07544,0.333333
663.44781,0,0,0,3133.063934,3,0,3067.05783,0.166667
784.889762,1526.59,786.3,740.29,2188.419607,11,27,1262.309666,0.111111
4104.710798,203.82,203.82,0,0,0,1,868.275275,0
1360.742377,0,0,0,1481.587093,1,0,378.294227,0
5315.945594,1525.44,469.8,1055.64,0,0,20,1430.341501,0
2242.311686,437,97,340,184.648692,2,5,0,0
